1	Dragon Blanc Niv.1
2	Bloodymos
3	Etalleur de Cervelle-1
4	Créature d'Argile-1
5	Prêtre Deva
6	Prêtre Asura
7	Prêtre Gaïa
8	Toktokkie
9	Tamahakan
10	Carbuncle Niv. 1
11	Carbuncle Niv. 2
12	Carbuncle Niv. 3
13	Cri Primal
14	Chat Sauvage
15	Garde Ancestral
16	Emplacement du Cristal
17	Licorne Niv. 3
18	Noir Sachar
19	Loup Blanc Menaçant
20	Bashal Cruel
21	Dragon Noir
22	Dragon Vert
23	Lord Effroi
24	??????
25	Furion
26	Spectre Draconien
27	Garde Ancestral
28	Emplacement du Cristal
29	Ange Gardien
30	Lapika Infernal
31	Chant-du-Vent Niv 2
32	Chant-du-Vent Niv 3
33	Chant-du-Vent Niv 1
34	Chant-du-Vent Niv 1
35	Tapari Niv.1
36	Tapari Niv.1
37	Tapari Niv.1
38	Dragon Blanc Niv. 2
39	Dragon Blanc Niv. 3
40	Ours
41	Ours Gris
42	Ours de Mandchourie
43	????11_??
44	?????5_??
45	????6_???
46	????7_???
47	?????5_???
48	?????6_??
49	????8_???
50	????9_??
51	?????7_??
52	?????8_??
53	?????8_????
54	??6_??
55	Oryx Sacré
56	?????3_???
57	?????4_???
58	????4_???
59	????5_???
60	?????4_???
61	????3_???
62	????4_??
63	????5_??
64	????6_????
65	????7_??
66	?????4_??
67	?????5_??
68	?????6_??
69	??1_????02
70	??2_???02
71	??3_???02
72	??1_????03
73	??2_???03
74	??3_???03
75	?????2._???
76	?????3_???
77	?????4_???
78	?????5_???
79	?????6_??
80	?????7_???
81	??3_??
82	??4_??
83	??5_??
84	????_??
85	????_??01
86	????01_Lv2
87	????02_Lv2
88	????03_Lv2
89	Invocateur de Taranida
90	???? ????
91	???? ????
92	???? ????7_??
93	???? ???9_???
94	???? ?? ??? 94
95	???? ?? ??? 95
96	???? ?? ??? 96
97	???? ?? ??? 97
98	???? ?? ??? 98
99	???? ?? ??? 99
100	???? ?? ??? ?????
101	????? ????
102	??? ?????? ???
103	Jeune Génie
104	??? ?? TEST
105	?? ??? TEST
106	???? ???
107	Désir Malicieux de Lucian
108	Œil du Jugement test
109	Waste Shredder  test
110	Shadow of the pops  test
111	Ancien adorateur de Frame test
112	Ancien adorateur de Storm  test
113	Ancien adorateur de Light  test
114	Ancien adorateur de Curse test
115	Antique Chevalier de Glory test
116	Antique Chevalier de destruction test
117	New-type witch  test
118	New-type absoute witch  test
119	New-type zealot  test
120	????  test
201	Bâtisse, le Transporteur
202	Amarylis, le Craken
203	Nowpieleon, la Chantevent
204	Anatatos, le Tréant Pestiféré
205	Tialra, la Tafari
206	Iilriose, l'Eimus
251	Disciple Aquatique
252	Enfant d'Amarylis
253	Sbire des Vents
254	Gardien d'Anatatos
255	Tafari de l'Ombre
256	Eimus Possédé
301	????
302	????
303	????
304	????
305	????
306	????
307	????
308	????
309	????
310	????
311	????
312	????
313	????
314	????
315	????
316	????
317	????
318	????
319	????
320	????
321	????
322	????
323	????
324	????
325	????
326	????
327	????
328	????
329	????
330	????
331	????
332	????
333	????
334	????
335	????
336	????
337	????
338	????
339	????
340	????
341	????
342	????
343	????
344	????
345	????
346	????
347	????
348	????
349	????
350	????
351	????
352	????
353	????
354	????
355	????
356	????
357	????
358	????
359	????
360	????
361	????
362	????
363	????
364	????
365	????
366	????
367	????
368	????
369	????
370	????
371	????
372	????
373	????
374	????
375	????
376	????
377	????
378	????
379	????
380	????
381	????
382	????
383	????
384	????
385	????
386	????
387	????
388	????
389	????
390	????
391	????
392	????
393	????
394	????
395	????
396	????
397	????
398	????
399	????
400	????
401	????
402	????
403	????
404	????
405	????
406	????
407	????
408	????
409	????
410	????
411	????
412	????
413	????
414	????
415	????
416	????
417	????
418	????
419	????
420	????
421	????
422	????
423	????
424	????
425	????
426	????
427	????
428	????
429	????
430	????
431	????
432	????
433	????
434	????
435	????
436	????
437	????
438	????
439	????
440	????
441	????
442	????
443	????
444	????
501	?? ???? 1
502	?? ???? 2
503	?? ???? 3
504	?? ???? 4
505	?? ???? 5
506	?? ???? 6
507	?? ???? 7
508	?? ???? 8
509	?? ???? 9
510	?? ???? 10
551	35 ?? ????
552	40 ?? ????
553	45 ?? ????
554	50 ?? ????
555	55 ?? ????
556	60 ?? ????
557	65 ?? ????
558	70 ?? ????
559	75 ?? ????
560	80 ?? ????
561	85 ?? ????
562	90 ?? ????
563	95 ?? ????
564	100 ?? ????
565	105 ?? ????
566	110 ?? ????
567	115 ?? ????
568	120 ?? ????
569	125 ?? ????
570	130 ?? ????
571	135 ?? ????
572	140 ?? ????
573	145 ?? ????
574	150 ?? ????
575	155 ?? ????
576	160 ?? ????
577	165 ?? ????
578	170 ?? ????
579	175 ?? ????
580	180 ?? ????
600	Testeur de Compétence
651	Alizea (tank)
652	Dragon de Glace (tank)
653	Butkadah (tank)
654	Médusa (tank)
655	Draco (tank)
656	Dragon Squelettique (tank)
657	Veuve Noire (tank)
658	Likirus (tank)
659	Furion (tank)
660	Soulseeker (tank)
661	Abhuva (tank)
662	Raa (tank)
663	Oforia (tank)
664	Toktokkie (tank)
665	Crustalino (tank)
666	Taranida (tank)
667	Tamahakan (tank)
668	Takin (tank)
669	Cri Primal (tank)
670	Alizea (magique)
671	Dragon de Glace (magique)
672	Butkadah (magique)
673	Médusa (magique)
674	Draco (magique)
675	Dragon Squelettique (magique)
676	Veuve Noire (magique)
677	Likirus (magique)
678	Furion (magique)
679	Soulseeker (magique)
680	Abhuva (magique)
681	Raa (magique)
682	Oforia (magique)
683	Toktokkie (magique)
684	Crustalino (magique)
685	Taranida (magique)
686	Tamahakan (magique)
687	Takin (magique)
688	Cri Primal (magique)
700	Vieillard Gaïan
701	Gaïan
702	Vieillard Deva
703	Deva
704	Vieillard Asura
705	Asura
710	Panthère de Ullr
711	Tortue de Ullr
712	Volatile de Ullr
713	Orc de Ullr
714	Yéti de Ullr
715	Squelette de Ullr
716	Fée Rouge de Ullr
717	Fée Bleue de Ullr
718	Sirène de Ullr
719	Loup de Ullr
720	Craken de Ullr
721	Homme-Faucon de Ullr
722	Salamandre de Ullr
723	Harpie de Ullr
724	Licorne Blanche de Ullr
725	Licorne Noire de Ullr
726	Ange de Ullr
727	Centaure de Ullr
728	Eimus de Ullr
729	Tafari de Ullr
730	Cerbère de Ullr
731	Génie de Ullr
732	Génie Mystique de Ullr
733	Dragon Blanc de Ullr
734	Tyran de la Mort de Ullr
735	?? ? ?? ???
736	Cube de Ullr
737	Lydian de Ullr
738	Baphomet de Ullr
739	Boucher de Ullr
740	Mécanymphe de Ullr
741	Minotaure de Ullr
742	Pick de Ullr
743	Alizea (courte distance)
744	Dragon de Glace (courte distance)
745	Butkadah (courte distance)
746	Médusa (courte distance)
747	Draco (courte distance)
748	Dragon Squelettique (courte distance)
749	Veuve Noire (courte distance)
750	Likirus (courte distance)
